,index,word,date,studyTime,answer
0,0,tackle,1677982850,2,2
1,1,muddle,1677983078,125,1
2,2,abduct,1677983094,3,1
3,3,garner,1677983386,1,0
4,4,irritable,1677983516,0,0
5,5,credit,1677983519,0,0
6,6,forge,1677983552,1,1
7,7,charitable,1677983829,1,2
8,8,addict,1677983832,1,2
9,9,depict,1677983971,2,1
10,10,abduct,1677983978,2,1
11,11,addict,1677983983,1,2
12,12,charitable,1677983988,2,2
13,13,credit,1677983991,1,2
14,14,depict,1677983995,2,1
15,15,forge,1677984002,1,1
16,16,garner,1677984009,1,1
17,17,irritable,1677984018,4,2
18,18,muddle,1677984021,1,2
19,19,tackle,1677984025,1,1
20,20,abduct,1677984032,2,1
21,21,addict,1677984038,1,2
22,22,charitable,1677984040,0,2
23,23,credit,1677984043,1,2
24,24,depict,1677984045,1,2
25,25,forge,1677984049,1,2
26,26,garner,1677984051,1,2
27,27,irritable,1677984055,1,2
28,28,muddle,1677984057,1,2
29,29,tackle,1677984060,0,2
30,30,abduct,1677984063,1,2
31,31,addict,1677984066,0,2
32,32,charitable,1677984068,0,2
33,33,credit,1677984070,0,2
34,34,depict,1677984073,0,2
35,35,forge,1677984075,0,2
36,36,garner,1677984077,0,2
37,37,irritable,1677984080,0,2
38,38,muddle,1677984083,1,2
39,39,tackle,1677984088,3,2
40,40,abduct,1677984092,1,2
41,41,addict,1677984098,4,2
42,42,charitable,1677984102,2,2
43,43,credit,1677984106,2,2
44,44,depict,1677984113,5,2
45,45,forge,1677984386,2,1
46,46,garner,1677984390,1,1
47,47,irritable,1677984396,3,2
48,48,muddle,1677984398,0,2
49,49,tackle,1677984401,1,1
50,50,abduct,1677984410,2,1
51,51,addict,1677984416,2,2
52,52,charitable,1677984419,1,2
53,53,credit,1677984422,1,2
54,54,depict,1677984427,2,1
55,55,forge,1677984435,2,1
56,56,credulous,1677985099,3,1
57,57,strip,1677985107,2,1
58,58,jurisdiction,1677985119,3,1
59,59,proximity,1677985127,3,1
60,60,intensive,1677985133,2,1
61,61,rumble,1677985139,2,1
62,62,engross,1677985146,1,1
63,63,pose,1677985151,1,2
64,64,hideous,1677985155,2,1
65,65,universal,1677985176,3,2
66,66,deplore,1677985181,3,1
67,67,tackle,1677991059,3,1
68,68,muddle,1677991064,2,2
69,69,abduct,1677991068,1,1
70,70,garner,1677991076,2,1
71,71,irritable,1677991082,2,2
72,72,forge,1677991085,1,1
73,73,depict,1677991090,1,2
74,74,credulous,1677991093,1,2
75,75,muddle,1677991096,1,2
76,76,abduct,1677991100,1,1
77,77,garner,1677991104,1,1
78,78,strip,1677991107,1,2
79,79,tackle,1677991111,1,1
80,80,forge,1677991114,1,1
81,81,muddle,1677991118,1,2
82,82,depict,1677991124,4,2
83,83,abduct,1677991132,2,1
84,84,garner,1677992608,2,1
85,85,tackle,1677994468,4,1
86,86,effectuate,1677994475,2,1
87,87,forge,1677994481,2,1
88,88,muddle,1677994495,2,2
89,89,abduct,1677994500,2,1
90,90,depict,1677994513,2,2
91,91,garner,1677994518,2,1
92,92,tackle,1677994524,1,1
93,93,forge,1677994532,2,1
94,94,beat,1677994535,1,2
95,95,abduct,1677994542,3,1
96,96,sacred,1677994547,2,2
97,97,garner,1677994553,1,1
98,98,depict,1677994561,1,2
99,99,forge,1677994566,2,2
100,100,tackle,1677994570,1,1
101,101,abduct,1677994578,1,1
102,102,talent,1677994582,1,2
103,103,garner,1677994586,1,1
104,104,charity,1677994598,2,2
105,105,forge,1677994668,5,1
106,106,depict,1677994675,2,2
107,107,abduct,1677994761,1,1
108,108,tackle,1677994769,1,1
109,109,garner,1677994809,3,1
110,110,flimsy,1677994812,2,1
111,111,forge,1677994826,6,1
112,112,intricate,1677994846,11,1
113,113,abduct,1677994852,17,1
114,114,depict,1677994858,1,2
115,115,garner,1677994862,1,1
116,116,tackle,1677994867,2,2
117,117,forge,1677994871,1,1
118,118,canny,1677994876,1,1
119,119,abduct,1677994883,1,1
120,120,moisten,1677994889,2,2
121,121,garner,1677995581,1,1
122,122,stable,1677995585,2,2
123,123,forge,1677995801,2,2
124,124,tackle,1677995805,1,2
125,125,abduct,1677996029,12,1
126,126,allegiance,1677996034,3,1
127,127,garner,1677996040,2,1
128,128,anonymous,1677996046,2,1
129,129,forge,1677996051,1,1
130,130,economize,1677996059,6,2
131,131,abduct,1677996069,8,2
132,132,tackle,1677996076,4,2
133,133,garner,1677996080,2,2
134,134,improvident,1677996085,3,1
135,135,forge,1677996090,3,1
136,136,assess,1677996099,2,2
137,137,abduct,1677996103,2,2
138,138,novelty,1677996107,2,2
139,139,garner,1677996111,1,2
140,140,tackle,1677996114,1,2
141,141,forge,1677996117,1,2
142,142,stamina,1677996121,1,2
143,143,abduct,1677996135,0,2
144,144,thermometer,1677996139,2,2
145,145,garner,1677996143,1,2
146,146,climax,1677996152,8,2
147,147,forge,1677996158,3,2
148,148,aggression,1677996166,6,2
149,149,abduct,1677996173,5,2
150,150,deputy,1677996178,3,1
151,151,garner,1677996181,1,2
152,152,zealous,1677996186,3,1
153,153,forge,1677996196,3,2
154,154,symbol,1677996200,2,2
155,155,abduct,1677996203,1,2
156,156,fertilizer,1677996208,2,1
157,157,garner,1677996212,1,2
158,158,dogma,1677996215,1,1
159,159,placate,1677996222,2,1
160,160,segregate,1677996228,2,1
161,161,abduct,1677996236,4,2
162,162,pleasure,1677996240,2,2
163,163,density,1677996249,7,1
164,164,elucidate,1677996255,3,1
165,165,originate,1677996261,2,2
166,166,convert,1677996267,4,2
167,167,principal,1677996271,1,2
168,168,carnal,1677996274,1,1
169,169,fret,1677996281,1,1
170,170,explicit,1677996287,4,1
171,171,divulge,1677996291,1,1
172,172,biochemistry,1677996298,1,2
173,173,equivalent,1677996304,3,1
174,174,complement,1677996308,1,2
175,175,copy,1677996311,1,2
176,176,cultivate,1677996318,4,2
177,177,assembly,1677996322,2,2
178,178,dessert,1677996326,1,2
179,179,chill,1677996329,1,2
180,180,quaint,1677996332,1,2
181,181,needy,1677996336,1,2
182,182,sediment,1677996339,1,1
183,183,negotiate,1677996345,2,2
184,184,rival,1677996348,1,1
185,185,inhabitant,1677996354,1,1
186,186,sociable,1677996359,2,1
187,187,heirship,1677996365,1,1
188,188,balance,1677996369,2,2
189,189,alert,1677996373,1,2
190,190,disprove,1677996377,1,1
191,191,abundant,1677996382,1,2
192,192,cohere,1677996386,2,2
193,193,applicant,1677996390,1,2
194,194,concede,1677996393,1,2
195,195,correlate,1677996397,1,2
196,196,fraudulent,1677996402,3,2
197,197,gallery,1677996406,1,2
198,198,hoax,1677996409,1,1
199,199,postpone,1677996418,2,2
200,200,elite,1677996424,5,1
201,201,indignity,1677996429,2,2
202,202,parade,1677996433,2,1
203,203,hazard,1677996440,0,1
204,204,imaginary,1677996602,159,1
205,205,garner,1678034715,5,2
206,206,forge,1678034721,5,0
207,207,abduct,1678034731,2,2
208,208,intricate,1678034735,2,0
209,209,density,1678034744,3,0
210,210,elite,1678034750,3,2
211,211,imaginary,1678034757,4,2
212,212,explicit,1678034762,3,0
213,213,jurisdiction,1678034769,3,2
214,214,proximity,1678034774,4,0
215,215,deplore,1678034781,3,0
216,216,allegiance,1678034787,4,0
217,217,improvident,1678034793,3,0
218,218,deputy,1678034798,2,0
219,219,zealous,1678034805,4,0
220,220,elucidate,1678034812,5,0
221,221,equivalent,1678034818,3,2
222,222,intensive,1678034827,8,2
223,223,rumble,1678034834,4,2
224,224,hideous,1678034841,5,0
225,225,parade,1678034849,4,0
226,226,sociable,1678034862,5,2
227,227,effectuate,1678034869,5,0
228,228,flimsy,1678034880,4,0
229,229,segregate,1678034888,3,2
230,230,placate,1678034894,4,0
231,231,anonymous,1678034906,3,0
232,232,fertilizer,1678034918,3,0
233,233,hoax,1678034934,13,0
234,234,disprove,1678034956,8,1
235,235,imaginary,1678034964,5,2
236,236,heirship,1678034973,7,2
237,237,engross,1678035011,35,0
238,238,canny,1678035101,85,0
239,239,credulous,1678035110,6,1
240,240,dogma,1678035124,5,1
241,241,carnal,1678035132,5,0
242,242,fret,1678035139,6,0
243,243,divulge,1678035151,6,0
244,244,sediment,1678035159,3,1
245,245,rival,1678035165,3,1
246,246,inhabitant,1678035171,3,2
247,247,climax,1678035177,3,2
248,248,strip,1678035183,4,2
249,249,intricate,1678035238,52,1
250,250,density,1678035245,3,1
251,251,imaginary,1678035286,4,2
